model_type,num_layers,dense_neurons,dropout,learning_rate,decision_threshold,lr,trial_number,score
MLP,3,23,0.1,0.003,0.8,0.0008105772961259034,0,0.9390018484288355
CNN1D,31,3,2,2,184,0.30000000000000004,0.0006,0.8,0.00027809524967890316,1,0.9018601667735728
CNN1D,15,4,4,3,84,0.1,0.01,0.8,0.007904056594980476,2,0.9008317338451696
LSTM,187,1,2,318,False,0.5,0.006,0.9,0.00394397587405243,3,0.0
CNN1D,118,5,2,1,155,0.4,0.0001,0.9,0.0003825270677539178,4,0.9256714553404123
LSTM,142,2,3,414,False,0.2,0.01,0.9,0.006061859912386315,5,0.0
LSTM,244,3,3,250,True,0.1,0.0006,0.9,0.0012011462396636617,7,0.0
MLP,5,3577,0.4,0.01,0.5,0.002314535724154229,8,0.750728862973761
MLP,1,20,0.2,0.003,0.6,0.00010060368017846841,10,0.87890625
LSTM,103,3,2,506,True,0.4,0.003,0.6,0.000666208051176638,19,0.8984962406015038
