number,value,datetime_start,datetime_complete,duration,params_bidirectional,params_decision_threshold,params_dense_neurons,params_dropout,params_filter_size,params_first_dense_size,params_hidden_size,params_kernel_size,params_learning_rate,params_lr,params_model_type,params_num_dense_layers,params_num_layers,params_num_lstm_layers,state
0,0.9555690809494827,2025-07-05 18:31:50.779892,2025-07-05 18:43:38.657645,0 days 00:11:47.877753,,0.6,133.0,0.30000000000000004,496.0,,,5.0,0.01,0.0023331979912399915,CNN1D,1.0,4.0,,COMPLETE
1,0.0,2025-07-05 18:43:38.677632,2025-07-05 18:44:43.906811,0 days 00:01:05.229179,True,0.6,,0.5,,500.0,227.0,,0.0003,0.006745190926149736,LSTM,1.0,,1.0,COMPLETE
2,0.9367245657568238,2025-07-05 18:44:43.923811,2025-07-05 18:47:34.664813,0 days 00:02:50.741002,,0.5,251.0,0.30000000000000004,112.0,,,2.0,0.0003,0.00011439732696456775,CNN1D,3.0,4.0,,COMPLETE
3,0.7291512915129151,2025-07-05 18:47:34.682473,2025-07-05 18:50:14.725455,0 days 00:02:40.042982,False,0.7,,0.5,,466.0,83.0,,0.0003,0.0018383633796930777,LSTM,1.0,,2.0,COMPLETE
4,0.9789964994165694,2025-07-05 18:50:14.743056,2025-07-05 18:52:42.607114,0 days 00:02:27.864058,,0.6,112.0,0.30000000000000004,,,,,0.0001,0.0001305308545598591,MLP,,3.0,,COMPLETE
5,0.1004946029279381,2025-07-05 18:52:42.623104,2025-07-05 18:52:51.399295,0 days 00:00:08.776191,,0.6,104.0,0.2,,,,,0.01,0.0018810489968447443,MLP,,3.0,,PRUNED
6,0.11773381615057588,2025-07-05 18:52:51.413257,2025-07-05 18:53:03.469137,0 days 00:00:12.055880,,0.8,150.0,0.30000000000000004,184.0,,,3.0,0.0003,0.007474183547359182,CNN1D,2.0,3.0,,PRUNED
7,0.011655011655011656,2025-07-05 18:53:03.480107,2025-07-05 18:56:38.371589,0 days 00:03:34.891482,True,0.6,,0.2,,131.0,150.0,,0.001,0.005490460931713435,LSTM,2.0,,2.0,COMPLETE
8,0.11013902677223086,2025-07-05 18:56:38.386408,2025-07-05 18:56:47.672916,0 days 00:00:09.286508,,0.5,1490.0,0.1,,,,,0.01,0.006129826860428399,MLP,,3.0,,PRUNED
9,0.4743362831858407,2025-07-05 18:56:47.685881,2025-07-05 19:00:00.997045,0 days 00:03:13.311164,True,0.6,,0.2,,321.0,180.0,,0.01,0.0003481595152133137,LSTM,1.0,,1.0,COMPLETE
10,0.14044190756976604,2025-07-05 19:00:01.013825,2025-07-05 19:00:10.025199,0 days 00:00:09.011374,,0.9,21.0,0.4,,,,,0.0001,0.00012957011142861432,MLP,,1.0,,PRUNED
11,0.10347481444478035,2025-07-05 19:00:10.037167,2025-07-05 19:00:20.756164,0 days 00:00:10.718997,,0.7,117.0,0.4,8.0,,,6.0,0.0001,0.0006142680928026404,CNN1D,2.0,4.0,,PRUNED
12,0.09582140971906483,2025-07-05 19:00:20.767142,2025-07-05 19:00:38.254586,0 days 00:00:17.487444,,0.5,82.0,0.4,595.0,,,5.0,0.003,0.0019271278227914474,CNN1D,3.0,2.0,,PRUNED
13,0.09789326600730419,2025-07-05 19:00:38.267587,2025-07-05 19:00:47.609933,0 days 00:00:09.342346,,0.7,726.0,0.30000000000000004,,,,,0.0006,0.00028847472120128623,MLP,,5.0,,PRUNED
14,0.08990018954500556,2025-07-05 19:00:47.623959,2025-07-05 19:01:03.654324,0 days 00:00:16.030365,,0.8,161.0,0.1,21.0,,,4.0,0.006,0.0009625499456510884,CNN1D,1.0,4.0,,PRUNED
15,0.9532934131736527,2025-07-05 19:01:03.664803,2025-07-05 19:02:29.648364,0 days 00:01:25.983561,,0.6,42.0,0.4,,,,,0.0001,0.0032424974140166166,MLP,,5.0,,COMPLETE
16,0.07754938199650496,2025-07-05 19:02:29.666328,2025-07-05 19:02:38.971041,0 days 00:00:09.304713,,0.8,589.0,0.2,,,,,0.001,0.00021397897270400518,MLP,,2.0,,PRUNED
17,0.09606811590492725,2025-07-05 19:02:38.985004,2025-07-05 19:03:05.291010,0 days 00:00:26.306006,,0.5,86.0,0.30000000000000004,477.0,,,6.0,0.006,0.0005898321876636385,CNN1D,2.0,3.0,,PRUNED
18,0.09621101431548595,2025-07-05 19:03:05.301981,2025-07-05 19:03:14.479725,0 days 00:00:09.177744,,0.6,379.0,0.4,,,,,0.003,0.003231631353926237,MLP,,4.0,,PRUNED
19,0.1009057293413207,2025-07-05 19:03:14.492690,2025-07-05 19:03:24.242920,0 days 00:00:09.750230,,0.7,123.0,0.2,39.0,,,4.0,0.0006,0.0012290362512523544,CNN1D,1.0,3.0,,PRUNED
